Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
230,insecure,inseguro,2.18,1.65,6.29,2.10,2.72,2.08,8,4,A,3.04,1,UnAv,UnAv,UnAv
231,insolent,insolente,2.44,1.56,5.82,2.09,4.17,2.02,9,4,A/N,3.57,1,UnAv,UnAv,UnAv
233,inspired,inspirado,7.04,1.67,5.78,2.26,6.03,2.17,9,4,V,0,0,UnAv,UnAv,UnAv
232,inspire,inspirar,7.17,1.49,5.14,2.52,5.46,2.30,8,3,V,3.21,0,6.1,3.66,3.75
817,insult,insulto,2.33,1.60,6.30,1.84,4.17,1.95,7,3,N,5,3,5.81,4,3.75
818,intellect,intelecto,6.56,1.50,5.16,2.04,6.47,1.70,9,4,N,1.43,0,UnAv,UnAv,UnAv
234,interest,interés,6.57,1.94,5.89,1.97,5.96,1.94,7,3,N,125.36,1,6.36,2.34,3.7
821,intimate,íntimo,7.46,1.35,5.13,2.74,6.38,2.09,6,3,A,18.04,1,UnAv,UnAv,UnAv
822,intruder,intruso,2.36,1.38,6.64,2.12,3.33,2.11,7,3,N,6.25,1,4.94,5.18,4.78
755,flood,inundación,1.99,1.42,6.30,2.00,2.52,1.93,10,5,N,2.32,1,5.4,5.55,5.62
467,useless,inútil,2.09,1.45,5.19,2.24,4.00,2.25,6,3,A,43.75,1,UnAv,UnAv,UnAv
823,invader,invasor,2.52,2.02,6.96,1.56,3.57,2.33,7,3,N,4.64,0,UnAv,UnAv,UnAv
824,invest,invertir,5.27,1.57,5.63,2.12,5.09,2.31,8,3,V,6.61,0,UnAv,UnAv,UnAv
1019,treat,invitación,7.86,1.09,6.79,1.80,5.42,1.96,10,5,N,13.04,1,6,4.52,4.84
235,irritate,irritar,1.93,1.14,6.34,2.25,4.14,1.99,7,3,V,1.25,1,UnAv,UnAv,UnAv
203,headache,jaqueca,1.58,1.37,4.38,2.65,2.62,1.88,7,3,N,0.89,0,UnAv,UnAv,UnAv
761,garden,jardín,7.99,1.11,4.47,2.63,5.96,2.38,6,2,N,61.96,1,6.21,6.26,5.86
829,jug,jarra,4.81,1.27,4.17,1.70,5.83,1.97,5,2,N,3.93,8,5.89,6.29,5.81
1038,young,joven,7.71,1.33,6.60,1.98,4.93,2.56,5,2,A/N,201.07,0,6.65,4.85,5.64
827,jolly,jovial,7.23,1.15,5.59,2.14,5.70,2.14,6,2,A,3.39,0,UnAv,UnAv,UnAv
239,jewel,joya,6.51,1.69,5.32,2.06,5.51,1.83,4,2,N,4.64,5,6.05,5.06,5.96
240,joy,júbilo,7.61,1.33,6.92,1.86,5.68,1.88,6,3,N,10.18,1,3.77,4.16,4.36
241,joyful,jubiloso,7.44,1.33,6.62,1.60,5.88,2.20,8,4,A,1.43,1,UnAv,UnAv,UnAv
760,game,juego,6.94,1.67,6.72,1.25,5.62,2.08,5,2,N,160.18,3,6.51,4.37,5.47
1017,toy,juguete,6.72,1.82,5.06,2.38,6.13,2.15,7,3,N,5.36,0,6.62,4.72,6.58
242,justice,justicia,7.00,1.88,5.78,2.53,4.98,2.66,8,3,N,64.11,0,5.7,3.39,3.33
1039,youth,juventud,7.82,1.48,6.60,2.17,4.49,2.52,8,3,N,70,0,6.55,4.57,5.13
831,ketchup,ketchup,4.76,2.15,4.39,2.00,5.30,2.30,7,2,N,0,0,UnAv,UnAv,UnAv
435,thief,ladrón,1.93,1.53,6.98,2.13,3.41,2.35,6,2,N,12.68,1,6.3,5.48,5.46
250,lake,lago,7.19,1.28,4.33,2.37,5.02,2.16,4,2,N,17.32,12,5.95,5.89,5.95
838,lamp,lámpara,5.42,1.37,4.24,1.82,6.01,1.91,7,3,N,16.61,1,6.15,6.02,6.11
259,listless,lánguido,3.00,1.77,3.49,1.81,4.00,1.94,8,3,A,1.79,1,UnAv,UnAv,UnAv
309,pencil,lápiz,4.98,1.16,4.63,1.56,6.00,1.97,5,2,N,6.96,1,6.16,6.75,5.92
940,pity,lástima,1.79,1.07,5.62,1.99,3.92,2.05,7,3,N,19.46,1,5.6,3.48,3.67
548,bathroom,lavabo,4.72,1.49,4.30,1.73,5.39,1.58,6,3,N,11.79,1,6.51,6.23,6.62
265,loyal,leal,7.73,1.26,4.88,2.37,5.82,2.18,4,2,A,8.21,2,UnAv,UnAv,UnAv
876,milk,leche,5.83,2.27,4.07,2.16,5.92,2.18,5,2,N,54.11,2,6.52,5.71,6.33
982,slow,lento,3.71,1.89,4.27,2.36,4.81,2.05,5,2,A,21.96,2,UnAv,UnAv,UnAv
518,lion,león,4.98,1.90,7.09,1.42,3.73,2.43,4,2,N,30,1,4.85,6.29,6.72
