	0	1
401	75.49266	-13.4356365
402	75.70089	-13.453336
403	82.23102	-10.219062
404	83.25421	-9.583148
405	85.820656	-7.0872364
406	86.08253	-6.7763734
407	86.43559	-6.7398133
408	95.59303	4.951917
409	95.810844	6.3955574
410	96.23673	6.6804485
411	96.15414	6.993542
412	96.79573	7.0483146
413	95.706924	7.2567263
414	99.40909	11.424395
415	99.35196	11.846195
416	99.386246	12.324899
417	98.780785	13.2438345
418	94.64568	15.797868
419	93.78154	15.413072
420	93.26859	15.910694
421	94.08989	16.917858
422	94.96674	16.854454
423	95.55706	16.121992
424	89.88484	15.490802
425	89.94703	14.376296
426	89.855156	11.807597
427	89.793594	11.617352
428	89.56671	11.478332
429	87.80344	4.067183
430	86.58372	4.1726155
431	85.825294	4.6305604
432	85.35782	4.791645
433	85.160645	6.0275745
434	84.84243	5.917065
435	84.4399	5.9859633
436	84.52246	6.374281
437	83.4331	5.6701703
438	82.71669	4.7095675
439	82.77994	4.2193856
440	82.56677	4.9837837
441	83.477585	6.0373235
442	83.41702	6.047456
443	83.0214	5.4832373
444	81.812515	4.7498384
445	80.89015	4.9045186
446	80.994965	5.254166
447	81.25168	6.657852
448	81.230576	6.821064
449	80.90713	6.186061
450	79.49246	4.750024
451	78.03411	4.7547536
452	77.45222	4.6990423
453	77.13763	4.3451915
454	74.84459	1.3275992
455	71.44313	6.178888
456	70.04015	6.1448617
457	63.104702	8.6834
458	61.370453	9.462122
459	56.538273	8.433889
460	41.572292	13.221077
461	41.135765	13.409306
462	39.922604	14.019635
463	39.10865	14.509129
464	38.655716	14.719766
465	38.434017	14.869162
466	-0.5516131	13.631577
467	-1.1157815	14.058986
468	-1.3889271	14.414611
469	-0.18331514	13.998129
470	-4.553037	13.963941
471	-8.2380495	16.672184
472	-9.792774	16.712358
473	-21.404936	12.527228
474	-24.212032	9.829123
475	-24.251108	9.8095
476	-24.91295	9.390035
477	-27.33512	4.018157
478	-27.115452	3.652123
479	-27.595377	4.09994
480	-28.695793	3.7743661
481	-30.718966	1.1775477
482	-31.07641	0.8564659
483	-10.2874565	12.146729
484	-9.598506	13.824058
485	-9.354606	14.914016
486	-60.11976	10.552169
487	-53.29121	-15.680066
488	-61.551895	-4.2154565
489	-65.43942	6.315043
490	-65.545204	6.844963
491	-65.75342	7.4494534
492	-66.42278	8.60477
493	-66.889275	8.883037
494	-67.30246	9.090797
495	-67.73271	9.155106
496	-74.13958	19.03642
497	-73.44126	19.988668
498	-72.44517	21.79369
499	-71.61873	23.972555
500	-69.180016	26.613195
501	-66.26511	28.473576
502	-64.59257	30.259983
503	-69.74872	36.109337
504	-72.945496	37.36511
505	-76.326256	37.892094
506	-80.40831	36.376907
507	-82.23096	32.079014
508	-81.90304	29.949404
509	-81.48557	27.698425
510	-79.96132	24.633348
511	-67.05314	17.927525
512	-64.78654	18.526915
513	-63.56686	19.357737
514	-71.88594	18.832987
515	-72.75196	20.445066
516	-72.528885	23.08811
517	-71.249435	25.9528
518	-69.21764	28.683867
519	-69.55371	31.625765
520	-64.43657	21.35743
521	-80.06471	18.38061
522	-82.14857	17.183886
523	-81.85967	34.817307
524	-86.66453	27.898748
525	-86.76383	22.618177
526	-88.105995	21.753971
527	-77.52545	21.331306
528	-76.84475	21.33185
529	-74.34812	21.510939
530	-72.52707	22.713945
531	-71.3934	24.908743
532	-68.53654	27.773052
533	-65.98652	30.096767
534	-66.41015	32.49497
535	-70.581116	35.7683
536	-73.40987	37.101562
537	-78.03188	37.355824
538	-81.526024	35.400993
539	-82.54741	30.97678
540	-81.77853	28.912193
541	-80.449905	26.981161
542	-79.43331	24.380352
543	-66.26165	19.315472
544	-65.56513	21.322355
545	-63.206062	24.884155
546	-62.38724	25.418764
547	-67.255264	34.600277
548	-67.697174	34.56708
549	-57.00629	5.8461514
550	-56.891285	5.85255
551	-56.613724	5.737551
552	-54.665455	3.7500703
553	-53.25458	3.2868721
554	-52.369106	2.9366221
555	-51.00303	2.2683103
556	-40.953957	5.1686854
557	-59.7766	16.230787
558	-59.29314	16.439556
559	-45.47324	-19.916567
560	-58.109238	9.166477
561	-58.08214	9.180868
562	-29.934332	-3.7197764
563	-32.923332	-8.93892
564	-21.828426	2.446076
565	-22.543339	1.7120636
566	-34.102947	-3.4808407
567	-46.31258	0.7497395
568	-29.965357	-3.738548
569	-29.94993	-3.8824518
570	-20.010857	3.2968671
571	-18.878233	-0.77064675
572	-18.131863	10.521179
573	-18.111689	10.464962
574	-21.474123	8.221477
575	-13.12	-3.0243623
576	-7.538798	3.5960627
577	-7.125971	3.5301547
578	-4.7976904	4.200424
579	3.9587533	8.576672
580	4.105604	8.745596
581	12.940352	10.626468
582	13.77079	10.963576
583	16.653934	14.212573
584	16.9301	14.500004
585	23.682764	14.243958
586	23.525288	14.372912
587	23.265844	14.971412
588	51.40311	-3.094288
589	52.326954	-3.0541112
590	52.46077	-3.2158833
591	74.77951	-12.5624695
592	82.09746	-10.120135
593	82.41113	-9.654511
594	82.72042	-9.010244
595	84.614235	-6.30217
596	92.23866	1.7513686
597	92.307945	1.8765128
598	92.50153	2.1611767
599	95.5156	4.876533
600	96.75626	6.2050915
601	97.18977	6.170286
602	97.260895	6.1759787
603	97.65998	6.397605
604	98.364296	6.7404222
605	99.11082	7.499522
606	99.53361	8.015379
607	102.309814	13.734707
608	102.40952	14.386391
609	102.5323	14.684729
610	102.55645	14.883368
611	102.57382	15.134266
612	102.5914	15.259724
613	102.66869	15.461977
614	102.70049	15.60529
615	102.65719	15.77855
616	102.63773	16.00211
617	102.65298	16.226475
618	102.64632	16.28583
619	102.65523	16.296232
620	102.6609	16.425678
621	102.62884	16.551935
622	102.6332	16.621038
623	102.62866	16.59465
624	102.65566	16.523628
625	102.66681	16.52366
626	102.643875	16.498251
627	102.63449	16.538412
628	102.63922	16.523436
629	102.636925	16.489225
630	102.62363	16.571081
631	102.5813	16.869692
632	102.53184	16.873713
633	102.53851	16.57169
634	101.46746	17.274311
635	96.66051	20.54445
636	96.26162	20.676897
637	95.856094	20.731518
638	94.2609	20.745852
639	93.49884	20.806677
640	92.54909	20.974121
641	92.27273	21.032059
642	91.93021	21.094505
643	91.630585	21.178982
644	49.342747	19.851837
645	49.053825	19.77896
646	48.551376	19.750467
647	48.253323	19.813683
648	-5.215065	15.96032
649	-5.9054995	15.693513
650	-7.412676	15.333128
651	-35.174446	-24.019213
652	-40.885574	0.85412717
653	-18.077044	3.4095502
654	-15.7623005	6.6913934
655	-15.459527	6.813919
656	-14.238074	3.2911339
657	-14.449292	2.8729355
658	-21.598906	9.79039
659	-22.108852	9.97195
660	-23.588226	9.247818
661	-24.032701	8.7757
662	-24.436996	8.425892
663	-25.217104	7.831403
664	-28.526505	4.465239
665	-26.118698	3.9498384
666	-25.42089	3.5635087
667	-24.960854	3.182614
668	-6.2268405	13.78076
669	-5.9197702	14.207994
670	-5.957535	14.825765
671	-6.18496	14.892578
672	-6.7534795	15.024188
673	-8.073378	14.740106
674	-60.206245	10.565826
675	-61.59369	9.193271
676	-80.88907	16.999676
677	-79.12131	17.24093
678	-78.53153	17.149496
679	-76.13926	16.918747
680	-75.97158	16.084232
681	-75.100845	13.703619
682	-74.39877	13.542679
683	-64.71098	20.619642
684	-74.039986	18.737923
685	-73.10569	19.651585
686	-72.428505	21.627241
687	-71.36754	23.797207
688	-69.78649	26.68823
689	-66.58336	29.056269
690	-64.792046	30.574442
691	-70.35768	35.67942
692	-73.250435	36.038353
693	-75.80328	37.276794
694	-81.10436	36.78318
695	-78.47115	30.511953
696	-77.52723	28.374744
697	-76.46024	26.567368
698	-76.18571	24.81143
699	-66.53047	22.514618
700	-64.18323	25.517548
701	-62.902054	27.15846
702	-61.16779	24.482452
703	-71.098595	38.735508
704	-76.57729	37.506973
705	-80.33333	36.904022
706	-82.33892	31.47603
707	-81.92331	30.046244
708	-81.493935	27.778343
709	-80.579445	25.324707
710	-67.42465	16.59281
711	-65.287254	18.95078
712	-63.23252	18.372179
713	-66.41646	35.293167
714	-77.40064	35.670383
715	-56.616905	5.9053483
716	-54.406635	3.1198785
717	-53.339733	3.3321455
